Impl, Trial: , 0, 1, 2, 3, 4, 5, mean
chpl, ./bin/step_11_dist-nl4--ny=2400--nx=2400--y_len=96--x_len=96, 148.44454, 155.08087, 143.74124, 143.88472, 152.03279, 145.08873, 148.04548
chpl, ./bin/step_11_dist-nl4--ny=3600--nx=3600--y_len=128--x_len=128, 294.01264, 287.50086, 279.70076, 285.34064, 288.96053, 285.22451, 286.78999
chpl, ./bin/step_11_dist-nl4--ny=6400--nx=6400--y_len=256--x_len=256, 701.05683, 687.34897, 698.07689, 698.01690, 676.37210, 678.21300, 689.84745
chpl, ./bin/step_11_dist-nl4--ny=4800--nx=4800--y_len=192--x_len=192, 488.41294, 490.00897, 488.31682, 493.82076, 490.62070, 498.63269, 491.63548
chpl, ./bin/step_11_dist-nl4--ny=150--nx=150--y_len=6--x_len=6, 69.48461, 65.40186, 65.68472, 67.54083, 70.01267, 67.59306, 67.61962
py, ./bin/step_11_dist-nl4--ny=150--nx=150--y_len=6--x_len=6, 7.46397, 7.27203, 7.35607, 7.40798, 7.46002, 7.38796, 7.39134
chpl, ./bin/step_11_dist-nl4--ny=200--nx=200--y_len=8--x_len=8, 68.72512, 68.83712, 66.55313, 67.43314, 71.54486, 67.27322, 68.39443
py, ./bin/step_11_dist-nl4--ny=200--nx=200--y_len=8--x_len=8, 12.72745, 12.47140, 12.41541, 12.54746, 12.57533, 12.49145, 12.53808
chpl, ./bin/step_11_dist-nl4--ny=400--nx=400--y_len=16--x_len=16, 75.35284, 76.44897, 69.05283, 67.62080, 68.43681, 73.22484, 71.68952
py, ./bin/step_11_dist-nl4--ny=400--nx=400--y_len=16--x_len=16, 50.23131, 49.90332, 50.46341, 50.32733, 50.35134, 49.26334, 50.09001
chpl, ./bin/step_11_dist-nl4--ny=800--nx=800--y_len=32--x_len=32, 81.04921, 76.68523, 73.67717, 78.94918, 79.51308, 73.36356, 77.20624
py, ./bin/step_11_dist-nl4--ny=800--nx=800--y_len=32--x_len=32, 196.03251, 195.89654, 194.97660, 193.87254, 197.44454, 195.14857, 195.56188
chpl, ./bin/step_11_dist-nl4--ny=1600--nx=1600--y_len=64--x_len=64, 101.10878, 102.80090, 96.93749, 104.36490, 107.73300, 101.25686, 102.36699
